健保就診總人次
151
105
20
87
21
39
19
42
141
6
44
1
104
3
18
19
17
14
1
51
60
11
27
7
8
6
11
29
1
12
1
29
1
2
4
11
5
2
1
4373
2656
951
2036
389
410
298
1540
2101
140
497
155
1320
155
261
567
521
7
414
196
38
4
116
77
15
48
4
26
14
32
73
7
30
51
4
1
18
7
8
3
5
143
103
15
69
15
19
8
30
80
5
29
1
72
1
21
16
17
9
3
1
10896
21645
12942
17670
1913
3065
3248
20092
13580
3354
2607
3572
10721
3530
5017
1902
5278
780
1600
1021
484
26
17710
26985
15272
22578
2828
3342
3951
27608
15364
3353
3311
3837
11819
4546
5699
2971
6817
1161
2083
1397
600
43
341231
367090
257197
395715
46348
48981
62160
362108
200175
42126
51828
60110
157662
62981
89311
52705
113921
20599
41812
24250
6858
793
11622
20793
12630
16864
1750
2771
3027
20839
12147
3109
2531
3210
10572
3500
5196
2077
5264
742
1586
889
417
34
28261
46420
26472
39143
4486
6528
6998
49601
28034
6683
4971
6705
21104
7578
10533
5116
10974
1635
3341
1764
875
82
329
189
34
177
21
55
25
86
231
20
66
1
146
5
1
37
38
28
30
9
82
60
12
66
6
6
6
21
53
1
17
34
3
3
12
11
12
6
1
7989
4574
1734
3926
655
505
520
2782
3523
218
1033
251
2107
243
426
1031
682
40
783
360
45
2
181
113
17
72
12
23
19
43
108
10
32
1
85
7
1
19
15
15
13
3
4
202
126
35
123
18
28
7
60
140
13
39
1
78
2
3
28
13
19
18
3
1
15072
25468
14743
20196
2537
3857
4031
25483
18645
4344
3340
4550
12763
4116
6511
2370
6430
845
2263
1412
607
59
21589
30482
16455
24442
3251
4100
4195
33709
19376
4282
4213
4890
13453
4994
6777
3383
7756
1253
2667
1683
645
51
531071
483419
331595
508901
69369
69739
81018
521134
299316
61917
75500
83315
210139
80412
117265
71389
141305
25995
60291
33696
10118
1149
14381
23033
13492
17576
2240
3487
3427
25213
15874
3812
3175
3790
11618
3752
5886
2477
5883
816
2057
1162
578
48
33087
49486
27162
39511
5095
7708
7097
56732
35263
7644
6306
7950
22316
7740
11896
5387
11555
1611
4053
2248
1079
93
300
188
43
190
26
70
26
64
221
16
81
1
156
6
4
27
36
23
26
9
82
75
9
43
8
2
2
16
53
2
7
2
41
2
3
9
10
7
7
1
7569
4391
1673
3807
652
618
510
2620
3285
238
842
215
2026
198
399
943
584
26
782
361
58
11
142
103
18
80
15
31
9
42
95
8
44
2
98
3
23
18
14
9
3
195
115
24
123
15
29
15
40
132
10
44
2
88
3
3
31
12
20
16
3
15513
25372
14473
19906
2475
4141
3940
25574
18915
4355
3494
4523
12694
4275
6201
2290
6178
782
2054
1390
661
82
20848
27785
15331
23314
3242
3884
4259
32007
18027
3988
3737
4645
13148
4754
6510
3269
7573
1267
2508
1699
656
63
522889
470866
320489
499370
67155
72596
78905
505014
294034
60333
72514
79823
205084
79204
114145
68932
135360
25093
58713
33011
10104
1141
14543
22297
12602
17002
2243
3619
3081
24682
15415
3685
3223
3753
11172
3723
5704
2272
5530
742
2034
1087
581
47
32770
46149
25325
37893
4938
7588
6610
54988
33911
7026
5957
7389
22009
7718
11348
5038
11154
1607
4299
2184
1163
102
310
183
25
164
26
66
25
75
